title,link,authors,publication
A multicriteria approach to examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:SdhP9T11ey4C,"E Burke, Y Bykov, S Petrovic","International Conference on the Practice and Theory of Automated Timetabling …, 2000"
New approaches to nurse rostering benchmark instances,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:m92CDrhVnKEC,"EK Burke, T Curtois","European Journal of Operational Research 237 (1), 71-81, 2014"
Structured cases in case-based reasoning—re-using and adapting cases for time-tabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:AXPGKjj_ei8C,"EK Burke, B MacCarthy, S Petrovic, R Qu","Knowledge-Based Systems 13 (2-3), 159-165, 2000"
"Decomposition, reformulation, and diving in university course timetabling",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:TFP_iSt0sucC,"EK Burke, J Mareček, AJ Parkes, H Rudová","Computers & Operations Research 37 (3), 582-597, 2010"
A new model for automated examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:fPk4N6BV_jEC,"B McCollum, P McMullan, AJ Parkes, EK Burke, R Qu","Annals of Operations Research 194 (1), 291-315, 2012"
The design of memetic algorithms for scheduling and timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:W5xh706n7nkC,"EK Burke, JD Landa Silva","Recent advances in memetic algorithms, 289-311, 2005"
On-line decision support for take-off runway scheduling with uncertain taxi times at London Heathrow airport,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:edDO8Oi4QzsC,"JAD Atkin, EK Burke, JS Greenwood, D Reeson","Journal of Scheduling 11 (5), 323-346, 2008"
Fuzzy multiple heuristic ordering for course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:_Re3VWB3Y0AC,"H Asmuni, EK Burke, JM Garibaldi","The Proceedings of the 5th United Kingdom Workshop on Computational …, 2005"
A time-predefined approach to course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ZuybSZzF8UAC,"E Burke, Y Bykov, J Newall, S Petrović","Yugoslav Journal of Operations Research 13 (2), 139-151, 2003"
Improving the scalability of rule-based evolutionary learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:Ug5p-4gJ2f0C,"J Bacardit, EK Burke, N Krasnogor","Memetic computing 1 (1), 55-67, 2009"
Multi-objective hyper-heuristic approaches for space allocation and timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:0KyAp5RtaNEC,"EK Burke, J Silva, E Soubeiga","Metaheuristics: progress as real problem solvers, 129-158, 2005"
Recent advances in selection hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:5F1dSjz1ScoC,"JH Drake, A Kheiri, E Özcan, EK Burke","European Journal of Operational Research 285 (2), 405-428, 2020"
Advanced population diversity measures in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:WqliGbK-hY8C,"E Burke, S Gustafson, G Kendall, N Krasnogor","International Conference on Parallel Problem Solving from Nature, 341-350, 2002"
Dynamic adaptive search based software engineering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:w1MjKQ0l0TYC,"M Harman, E Burke, JA Clark, X Yao","Proceedings of the 2012 ACM-IEEE International Symposium on Empirical …, 2012"
Grammatical evolution of local search heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ZHo1McVdvXMC,"EK Burke, MR Hyde, G Kendall","IEEE Transactions on Evolutionary Computation 16 (3), 406-417, 2011"
Local search for the surgery admission planning problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:CdxZDUztZiMC,"A Riise, EK Burke","Journal of Heuristics 17 (4), 389-414, 2011"
A classification of hyper-heuristic approaches: revisited,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:Ul_CLA4dPeMC,"EK Burke, MR Hyde, G Kendall, G Ochoa, E Özcan, JR Woodward","Handbook of metaheuristics, 453-477, 2019"
Examination timetabling using late acceptance hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:_5tno0g5mFcC,"E Ozcan, Y Bykov, M Birben, EK Burke","2009 IEEE Congress on Evolutionary Computation, 997-1004, 2009"
A supernodal formulation of vertex colouring with applications in course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:yMeIxYmEMEAC,"EK Burke, J Mareček, AJ Parkes, H Rudová","Annals of Operations Research 179 (1), 105-130, 2010"
